year,crop,acres_harvested,bu_per_acre,state,max_high_F,avg_high_F,min_low_F,avg_low_F,max_precip_in,sum_precip_in
1937,RYE,207e3,19.5,IOWA,101,58.89589041,-10,37.35342466,1.05,26.99
1937,SOYBEANS,234e3,18.5,IOWA,101,58.89589041,-10,37.35342466,1.05,26.99
1937,WHEAT,817e3,17.9,IOWA,101,58.89589041,-10,37.35342466,1.05,26.99
1938,BARLEY,436e3,30.5,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1938,CORN_GRAIN,9844e3,46,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1938,FLAXSEED,11e3,13.3,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1938,HAY,3137e3,NA,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1938,OATS,5972e3,35,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1938,RYE,12e4,15.5,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1938,SOYBEANS,308e3,21,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1938,WHEAT,583e3,15.9,IOWA,98,62.8739726,-10,40.99178082,1.08,36.03
1939,BARLEY,55e4,23.5,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1939,CORN_GRAIN,896e4,52.2,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1939,FLAXSEED,102e3,10.2,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1939,HAY,3694e3,NA,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1939,OATS,5076e3,31.5,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1939,RYE,68e3,15,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1939,SOYBEANS,55e4,20.7,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1939,WHEAT,392e3,17.7,IOWA,101,63.69041096,-9,39.92876712,0.89,25.17
1940,BARLEY,429e3,30,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1940,CORN_GRAIN,8624e3,52.5,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1940,FLAXSEED,197e3,13,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1940,HAY,4309e3,NA,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1940,OATS,5178e3,38.5,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1940,RYE,37e3,18.5,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1940,SOYBEANS,709e3,20,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1940,WHEAT,312e3,24.8,IOWA,103,58.84153005,-20,37.76229508,0.99,30.52
1941,BARLEY,266e3,27.5,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1941,CORN_GRAIN,8616e3,51,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1941,FLAXSEED,305e3,13,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1941,HAY,383e4,NA,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1941,OATS,5437e3,32.5,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1941,RYE,19e3,13.5,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1941,SOYBEANS,942e3,17,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1941,WHEAT,181e3,12.9,IOWA,100,61.83013699,-5,41.35342466,1.52,36.39
1942,BARLEY,189e3,22,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1942,CORN_GRAIN,9133e3,60,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1942,FLAXSEED,256e3,12.5,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1942,HAY,3756e3,NA,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1942,OATS,5165e3,38,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1942,RYE,18e3,15.5,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1942,SOYBEANS,1818e3,19.5,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1942,WHEAT,178e3,23.6,IOWA,97,59.80547945,-19,38.91780822,1.14,33.29
1943,BARLEY,34e3,20,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1943,CORN_GRAIN,10127e3,55,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1943,FLAXSEED,325e3,12,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1943,HAY,3364e3,NA,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1943,OATS,4907e3,36.5,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1943,RYE,13e3,14.5,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1943,SOYBEANS,1873e3,19.5,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1943,WHEAT,129e3,19.3,IOWA,95,59.51506849,-20,37.13150685,0.96,30
1944,BARLEY,7e3,16.6,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1944,CORN_GRAIN,10397e3,52.5,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1944,FLAXSEED,93e3,5.9,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1944,HAY,3551e3,NA,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1944,OATS,4711e3,28.7,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1944,RYE,1e4,12,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1944,SOYBEANS,191e4,20.3,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1944,WHEAT,12e4,15.9,IOWA,96,59.79234973,-15,39.23770492,1.01,36.33
1945,BARLEY,3e3,28,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1945,CORN_GRAIN,9924e3,44.5,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1945,FLAXSEED,75e3,12.5,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1945,HAY,3304e3,NA,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1945,OATS,5323e3,38.5,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1945,RYE,11e3,13,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1945,SOYBEANS,191e4,18.5,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1945,WHEAT,14e4,19,IOWA,95,58.63013699,-9,37.51506849,1.35,35.94
1946,BARLEY,13e3,31.5,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1946,CORN_GRAIN,106e5,57,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1946,FLAXSEED,34e3,15,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1946,HAY,3275e3,NA,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1946,OATS,5642e3,37.5,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1946,RYE,1e4,17,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1946,SOYBEANS,1548e3,23,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1946,WHEAT,185e3,23.4,IOWA,94,62.09041096,-12,40.1890411,1.21,34.36
1947,BARLEY,34e3,23.5,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1947,CORN_GRAIN,9588e3,31,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1947,FLAXSEED,83e3,13.5,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1947,HAY,3338e3,NA,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1947,OATS,5247e3,31,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1947,RYE,15e3,15,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1947,SOYBEANS,1884e3,15.5,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1947,WHEAT,201e3,17.9,IOWA,99,59.59726027,-15,39.10684932,1.39,36.17
1948,BARLEY,33e3,32,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1948,CORN_GRAIN,10732e3,60.5,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1948,FLAXSEED,104e3,15.5,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1948,HAY,2943e3,NA,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1948,OATS,6086e3,45,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1948,RYE,17e3,15.5,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1948,SOYBEANS,1564e3,22.5,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1948,WHEAT,317e3,23.3,IOWA,98,60.36885246,-15,38.26502732,1.04,29.11
1949,BARLEY,31e3,25.9,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1949,CORN_GRAIN,11101e3,47,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1949,FLAXSEED,11e4,13.8,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1949,HAY,31e5,NA,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1949,OATS,6269e3,38.6,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1949,RYE,18e3,14,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1949,SOYBEANS,134e4,23,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1949,WHEAT,384e3,18.8,IOWA,95,60.70136986,-13,38.7369863,0.92,29.43
1950,BARLEY,53e3,32,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1950,CORN_GRAIN,9396e3,48.5,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1950,FLAXSEED,77e3,15.5,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1950,HAY,3737e3,NA,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1950,OATS,652e4,41.5,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1950,RYE,13e3,16,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1950,SOYBEANS,193e4,22,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1950,WHEAT,25e4,21.8,IOWA,92,57.73972603,-12,35.47945205,1.17,28.65
1951,BARLEY,33e3,21,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1951,CORN_GRAIN,968e4,43.5,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1951,FLAXSEED,6e4,9.5,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1951,HAY,3944e3,NA,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1951,OATS,5672e3,33.5,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1951,RYE,8e3,14,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1951,SOYBEANS,1583e3,20.5,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1951,WHEAT,145e3,10.3,IOWA,94,56.64657534,-16,36.33972603,0.94,39.59
1952,BARLEY,15e3,30,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1952,CORN_GRAIN,10449e3,62.5,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1952,FLAXSEED,34e3,14,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1952,HAY,3768e3,NA,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1952,OATS,6069e3,35,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1952,RYE,6e3,15.5,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1952,SOYBEANS,1526e3,25.5,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1952,WHEAT,155e3,21.5,IOWA,97,60.88797814,-10,38.64480874,1.38,28.65
1953,BARLEY,7e3,23,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1953,CORN_GRAIN,10811e3,53,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1953,FLAXSEED,25e3,9.5,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1953,HAY,391e4,NA,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1953,OATS,5766e3,25.5,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1953,RYE,5e3,14.5,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1953,SOYBEANS,1657e3,21.5,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1953,WHEAT,137e3,20.4,IOWA,97,62.69589041,-8,39.7890411,0.97,23.93
1954,BARLEY,23e3,29,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1954,CORN_GRAIN,10014e3,54.5,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1954,FLAXSEED,27e3,10.5,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1954,HAY,3894e3,NA,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1954,OATS,604e4,37.5,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1954,RYE,9e3,15.5,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1954,SOYBEANS,2129e3,26.5,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1954,WHEAT,11e4,19.4,IOWA,99,62.25753425,-12,40.32328767,0.96,32.41
1955,BARLEY,2e4,33,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1955,CORN_GRAIN,10293e3,48.5,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1955,FLAXSEED,14e3,15,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1955,HAY,4006e3,NA,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1955,OATS,5798e3,44.5,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1955,RYE,13e3,17,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1955,SOYBEANS,2261e3,20,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1955,WHEAT,115e3,33.2,IOWA,102,61.69589041,-16,38.33972603,1,22.44
1956,BARLEY,27e3,22.5,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1956,CORN_GRAIN,9413e3,53.5,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1956,FLAXSEED,25e3,8,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1956,HAY,3654e3,NA,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1956,OATS,4986e3,31,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1956,RYE,13e3,14,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1956,SOYBEANS,25e5,20,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1956,WHEAT,131e3,19.8,IOWA,98,62.00819672,-13,38.38797814,0.65,22.89
1957,BARLEY,32e3,32,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1957,CORN_GRAIN,986e4,62,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1957,FLAXSEED,14e3,14,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1957,HAY,3627e3,NA,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1957,OATS,5185e3,42,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1957,RYE,21e3,18,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1957,SOYBEANS,2827e3,27,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1957,WHEAT,156e3,27.6,IOWA,98,59.91506849,-18,39.06027397,0.7,30.82
1958,BARLEY,31e3,38,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1958,CORN_GRAIN,9782e3,66,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1958,FLAXSEED,14e3,18.5,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1958,HAY,3849e3,NA,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1958,OATS,4822e3,45.5,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1958,RYE,13e3,20,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1958,SOYBEANS,3116e3,25.5,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1958,WHEAT,167e3,31.7,IOWA,93,59.84109589,-19,37.73424658,1.15,25.88
1959,BARLEY,29e3,37,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1959,CORN_GRAIN,12139e3,65,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1959,FLAXSEED,12e3,17.5,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1959,HAY,3554e3,NA,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1959,OATS,4316e3,43.5,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1959,RYE,9e3,18,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1959,SOYBEANS,2369e3,26.5,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1959,WHEAT,165e3,20.1,IOWA,94,59.36438356,-16,38.38356164,1.42,36.66
1960,BARLEY,29e3,32,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1960,CORN_GRAIN,12166e3,63.5,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1960,FLAXSEED,16e3,17,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1960,HAY,3492e3,NA,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1960,OATS,41e5,42,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1960,RYE,7e3,17,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1960,SOYBEANS,2599e3,25.5,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1960,WHEAT,119e3,24.7,IOWA,94,58.55191257,-16,37.05191257,1.11,32.95
1961,BARLEY,23e3,39,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1961,CORN_GRAIN,9976e3,75.5,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1961,FLAXSEED,1e4,18,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1961,HAY,3331e3,NA,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1961,OATS,3239e3,43.5,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1961,RYE,7e3,18.5,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1961,SOYBEANS,3405e3,28.5,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1961,WHEAT,124e3,26,IOWA,93,59.32876712,-15,37.6739726,1.99,36.46
1962,BARLEY,11e3,39,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1962,CORN_GRAIN,9677e3,77,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1962,FLAXSEED,1e4,17,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1962,HAY,3502e3,NA,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1962,OATS,2947e3,43.5,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1962,RYE,5e3,18.5,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1962,SOYBEANS,3405e3,27.5,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1962,WHEAT,88e3,24.8,IOWA,91,59.03013699,-20,37.76164384,1.18,29.74
1963,BARLEY,7e3,41,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1963,CORN_GRAIN,10645e3,80,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1963,FLAXSEED,1e4,15.5,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1963,HAY,3318e3,NA,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1963,OATS,28e5,45,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1963,RYE,6e3,21,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1963,SOYBEANS,3575e3,30.5,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1963,WHEAT,105e3,27.9,IOWA,98,60.81917808,-21,38.25479452,0.83,25.76
1964,BARLEY,6e3,42,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1964,CORN_GRAIN,9738e3,77.5,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1964,FLAXSEED,4e3,18,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1964,HAY,3233e3,NA,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1964,OATS,2324e3,48.5,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1964,RYE,6e3,20.5,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1964,SOYBEANS,4254e3,28.5,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1964,WHEAT,1e5,27.8,IOWA,98,61.57377049,-9,38.7704918,0.89,29.84
1965,BARLEY,5e3,46,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1965,CORN_GRAIN,9933e3,82,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1965,FLAXSEED,1e4,20,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1965,HAY,3038e3,NA,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1965,OATS,1999e3,52.5,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1965,RYE,4e3,21,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1965,SOYBEANS,485e4,26,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1965,WHEAT,4e4,21,IOWA,96,59.46849315,-15,37.88493151,1.1,38.59
1966,BARLEY,4e3,45,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1966,CORN_GRAIN,10132e3,89,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1966,FLAXSEED,3e3,19,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1966,HAY,298e4,NA,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1966,OATS,1979e3,54,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1966,RYE,4e3,20,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1966,SOYBEANS,4996e3,29.5,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1966,WHEAT,45e3,33,IOWA,98,59.83287671,-23,36.6630137,1.06,24.27
1967,BARLEY,5e3,44,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1967,CORN_GRAIN,11145e3,88.5,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1967,FLAXSEED,2e3,20,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1967,HAY,2808e3,NA,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1967,OATS,186e4,54.5,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1967,RYE,5e3,22,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1967,SOYBEANS,5246e3,27.5,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1967,WHEAT,6e4,27.5,IOWA,94,59.75616438,-16,37.23561644,0.86,30.17
1968,BARLEY,6e3,49,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1968,CORN_GRAIN,9775e3,93,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1968,FLAXSEED,2e3,19,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1968,HAY,256e4,NA,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1968,OATS,1804e3,59,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1968,RYE,4e3,23,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1968,SOYBEANS,5561e3,32,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1968,WHEAT,54e3,36,IOWA,95,60.45628415,-18,38.21038251,1.06,30.52
1969,BARLEY,5e3,43,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1969,CORN_GRAIN,9549e3,99,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1969,FLAXSEED,1e3,19,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1969,HAY,25e5,NA,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1969,OATS,184e4,51,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1969,RYE,5e3,25,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1969,SOYBEANS,545e4,32.5,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1969,WHEAT,44e3,33.5,IOWA,93,58.24931507,-14,37.53424658,0.79,33.21
1970,BARLEY,4e3,41,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1970,CORN_GRAIN,10077e3,86,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1970,FLAXSEED,1e3,18,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1970,HAY,246e4,NA,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1970,OATS,1711e3,55,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1970,RYE,5e3,26,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1970,SOYBEANS,568e4,32.5,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1970,WHEAT,4e4,35,IOWA,96,59.64383562,-23,38.02739726,1.22,32.83
1971,BARLEY,6e3,47,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1971,CORN_GRAIN,1155e4,102,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1971,FLAXSEED,1e3,18,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1971,HAY,235e4,NA,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1971,OATS,155e4,59,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1971,RYE,5e3,27,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1971,SOYBEANS,55e5,32.5,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1971,WHEAT,36e3,38.5,IOWA,96,60.14246575,-18,38.37534247,0.76,28.01
1972,BARLEY,6e3,43,IOWA,94,57.78415301,-19,36.91256831,0.93,34.83
1972,CORN_GRAIN,106e5,116,IOWA,94,57.78415301,-19,36.91256831,0.93,34.83
1972,HAY,23e5,NA,IOWA,94,57.78415301,-19,36.91256831,0.93,34.83
1972,OATS,125e4,57,IOWA,94,57.78415301,-19,36.91256831,0.93,34.83
1972,RYE,5e3,28,IOWA,94,57.78415301,-19,36.91256831,0.93,34.83
1972,SOYBEANS,6e6,36,IOWA,94,57.78415301,-19,36.91256831,0.93,34.83
1972,WHEAT,33e3,37.5,IOWA,94,57.78415301,-19,36.91256831,0.93,34.83
1973,CORN_GRAIN,1128e4,107,IOWA,93,60.22191781,-12,40.54520548,1.32,41.79
1973,HAY,248e4,NA,IOWA,93,60.22191781,-12,40.54520548,1.32,41.79
1973,OATS,13e5,51.5,IOWA,93,60.22191781,-12,40.54520548,1.32,41.79
1973,RYE,4e3,28,IOWA,93,60.22191781,-12,40.54520548,1.32,41.79
1973,SOYBEANS,765e4,34,IOWA,93,60.22191781,-12,40.54520548,1.32,41.79
1973,WHEAT,34e3,32,IOWA,93,60.22191781,-12,40.54520548,1.32,41.79
1974,CORN_GRAIN,121e5,80,IOWA,97,60.1369863,-25,38.45479452,1.21,30.33
1974,HAY,236e4,NA,IOWA,97,60.1369863,-25,38.45479452,1.21,30.33
1974,OATS,1425e3,55,IOWA,97,60.1369863,-25,38.45479452,1.21,30.33
1974,RYE,5e3,26,IOWA,97,60.1369863,-25,38.45479452,1.21,30.33
1974,SOYBEANS,711e4,28,IOWA,97,60.1369863,-25,38.45479452,1.21,30.33
1974,WHEAT,62e3,30,IOWA,97,60.1369863,-25,38.45479452,1.21,30.33
1975,CORN_GRAIN,1242e4,90,IOWA,93,59.80273973,-17,38.35342466,0.74,28.42
1975,HAY,245e4,NA,IOWA,93,59.80273973,-17,38.35342466,0.74,28.42
1975,OATS,1425e3,53,IOWA,93,59.80273973,-17,38.35342466,0.74,28.42
1975,RYE,5e3,26,IOWA,93,59.80273973,-17,38.35342466,0.74,28.42
1975,SOYBEANS,697e4,34,IOWA,93,59.80273973,-17,38.35342466,0.74,28.42
1975,WHEAT,1e5,34,IOWA,93,59.80273973,-17,38.35342466,0.74,28.42
